Alias,Women Count,Men Count,Total Voters,Turnout,Perc Turnout,GD Share of the turnout,GD vote count,GD share of the perc turnout,
00.06.25,1357,979,2336,1300,0.56,0.43538,566,0.242294521,
00.06.26,1499,1055,2554,1314,0.51,0.43303,569,0.222787784,
00.06.27,1033,839,1872,942,0.5,0.46391,437,0.233440171,
00.06.28,693,507,1200,601,0.5,0.44426,267,0.2225,
00.06.29,1610,1193,2803,1458,0.52,0.47668,695,0.247948626,
00.06.30,1563,1138,2701,1432,0.53,0.43087,617,0.228433913,
00.06.31,1807,1447,3254,1728,0.53,0.42766,739,0.227105101,
00.06.32,1619,1161,2780,1415,0.51,0.44594,631,0.226978417,
00.06.33,1489,1089,2578,1389,0.54,0.46292,643,0.249418154,
00.06.34,753,588,1341,740,0.55,0.43919,325,0.24235645,
00.06.35,738,620,1358,784,0.58,0.48342,379,0.279086892,
00.06.36,881,714,1595,841,0.53,0.46136,388,0.243260188,
00.06.37,1241,1010,2251,1218,0.54,0.54762,667,0.29631275,
00.06.38,1629,1291,2920,1529,0.52,0.46828,716,0.245205479,
00.06.39,1326,1078,2404,1260,0.52,0.4619,582,0.242096506,
00.06.40,1615,1278,2893,1377,0.48,0.52433,722,0.249567923,
00.06.41,1584,1267,2851,1380,0.48,0.50725,700,0.245527885,
00.06.42,1260,1048,2308,1237,0.54,0.5772,714,0.309358752,
00.06.43,291,261,552,352,0.64,0.52841,186,0.336956522,
00.06.44,1403,1222,2625,1573,0.6,0.45137,710,0.27047619,
00.06.45,1062,886,1948,1292,0.66,0.54567,705,0.361909651,
00.06.46,572,557,1129,635,0.56,0.45669,290,0.256864482,
00.06.47,561,480,1041,506,0.49,0.55534,281,0.269932757,
00.06.48,1557,1279,2836,1811,0.64,0.545,987,0.348025388,
00.06.49,742,633,1375,570,0.41,0.4193,239,0.173818182,
00.06.50,758,592,1350,1040,0.77,0.6,624,0.462222222,
00.06.51,1171,960,2131,1037,0.49,0.4378,454,0.213045519,
00.06.52,1669,1274,2943,1421,0.48,0.44124,627,0.21304791,
00.06.53,1518,1174,2692,1380,0.51,0.44058,608,0.225854383,
00.06.54,1019,794,1813,792,0.44,0.48106,381,0.210148924,
00.06.55,787,650,1437,660,0.46,0.4803,317,0.220598469,
00.06.56,818,673,1491,836,0.56,0.45215,378,0.253521127,
00.06.57,905,733,1638,780,0.48,0.45385,354,0.216117216,
00.06.58,1400,1078,2478,1378,0.56,0.40203,554,0.223567393,
00.06.59,1072,865,1937,1213,0.63,0.45672,554,0.286009293,
00.06.60,677,538,1215,652,0.54,0.41871,273,0.224691358,
00.06.61,679,531,1210,761,0.63,0.45466,346,0.285950413,
00.06.62,776,599,1375,853,0.62,0.3728,318,0.231272727,
00.06.63,1428,1111,2539,1465,0.58,0.45597,668,0.263095707,
00.06.64,658,527,1185,617,0.52,0.45219,279,0.235443038,
00.06.65,770,674,1444,760,0.53,0.44079,335,0.23199446,
00.06.66,1544,1085,2629,1496,0.57,0.43249,647,0.246101179,
00.06.67,1171,902,2073,1175,0.57,0.46979,552,0.266280753,
00.06.68,1225,940,2165,1214,0.56,0.45634,554,0.255889145,
00.06.69,557,422,979,588,0.6,0.43707,257,0.262512768,
00.06.70,864,586,1450,816,0.56,0.39338,321,0.22137931,
00.06.71,943,647,1590,951,0.6,0.37224,354,0.222641509,
00.06.72,1289,1079,2368,1281,0.54,0.41686,534,0.225506757,
00.07.01,748,555,1303,875,0.67,0.46857,410,0.31465848,
00.07.02,770,609,1379,867,0.63,0.43368,376,0.272661349,
00.07.03,725,527,1252,705,0.56,0.43546,307,0.245207668,
00.07.04,877,630,1507,923,0.61,0.40953,378,0.250829463,
00.07.05,685,583,1268,606,0.48,0.41584,252,0.19873817,
00.07.06,834,649,1483,844,0.57,0.47275,399,0.269049225,
00.07.07,914,596,1510,944,0.63,0.41843,395,0.261589404,
00.07.08,808,614,1422,857,0.6,0.43874,376,0.264416315,
00.07.09,859,608,1467,912,0.62,0.46491,424,0.289025222,
00.07.10,1377,976,2353,1482,0.63,0.45547,675,0.286867828,
00.07.11,900,628,1528,895,0.59,0.45698,409,0.267670157,
00.07.12,1378,998,2376,1505,0.63,0.47243,711,0.299242424,
00.07.13,1127,840,1967,1173,0.6,0.39898,468,0.237925775,
00.07.14,1498,1086,2584,1578,0.61,0.46008,726,0.280959752,
00.07.15,900,671,1571,998,0.64,0.40982,409,0.26034373,
00.07.16,837,690,1527,947,0.62,0.42027,398,0.260641781,
00.07.17,929,680,1609,953,0.59,0.41028,391,0.24300808,
00.07.18,889,719,1608,996,0.62,0.501,499,0.310323383,
00.07.19,1326,963,2289,1342,0.59,0.43666,586,0.25600699,
00.07.20,908,689,1597,825,0.52,0.51394,424,0.265497808,
00.07.21,857,681,1538,977,0.64,0.42886,419,0.27243173,
00.07.22,813,613,1426,831,0.58,0.45969,382,0.267882188,
00.07.23,1632,1171,2803,1602,0.57,0.43383,695,0.247948626,
00.07.24,947,676,1623,1015,0.63,0.4798,487,0.300061614,
00.07.25,1586,1132,2718,1731,0.64,0.42577,737,0.271155261,
00.07.26,1136,807,1943,1277,0.66,0.39859,509,0.261966032,
00.07.27,1162,882,2044,1238,0.61,0.39661,491,0.240215264,
00.07.28,698,498,1196,807,0.67,0.39281,317,0.265050167,
00.07.29,784,577,1361,834,0.61,0.39448,329,0.241734019,
00.07.30,696,542,1238,768,0.62,0.4362,335,0.270597738,
00.07.31,920,673,1593,944,0.59,0.44492,420,0.263653484,
00.07.32,785,654,1439,843,0.59,0.54093,456,0.316886727,
00.07.33,911,612,1523,911,0.6,0.41054,374,0.245567958,
00.07.34,801,599,1400,869,0.62,0.42348,368,0.262857143,
00.07.35,788,579,1367,809,0.59,0.42027,340,0.248719824,
00.07.36,625,440,1065,667,0.63,0.50225,335,0.314553991,
00.07.37,780,574,1354,844,0.62,0.46682,394,0.29098966,
00.07.38,794,519,1313,752,0.57,0.43484,327,0.249047982,
00.07.39,1039,898,1937,1264,0.65,0.42563,538,0.277749097,
00.07.40,741,627,1368,756,0.55,0.52249,395,0.28874269,
00.07.41,761,623,1384,840,0.61,0.47619,400,0.289017341,
