Row Labels,Sum of votes
00.16.24,742
00.16.25,823
00.16.26,654
00.16.27,277
00.16.28,441
00.16.29,227
00.17.01,944
00.17.02,786
00.17.03,619
00.17.04,817
00.17.05,1002
00.17.06,1335
00.17.07,1184
00.17.08,917
00.17.09,1316
00.17.10,867
00.17.11,670
00.17.12,963
00.17.13,971
00.17.14,582
00.17.15,653
00.17.16,672
00.17.17,625
00.17.18,926
00.17.19,1082
00.17.20,1083
00.17.21,296
00.17.22,1190
00.17.23,1217
00.17.24,833
00.17.25,183
00.17.26,668
00.17.27,770
00.17.28,775
00.17.29,623
00.17.30,582
00.17.31,529
00.17.32,642
00.17.33,1433
00.17.34,1217
00.17.35,507
00.17.36,587
00.17.37,347
00.17.38,473
00.17.39,480
00.17.40,70
00.17.41,858
00.17.42,68
00.17.43,306
00.18.01,925
00.18.02,783
00.18.03,1268
00.18.04,879
00.18.05,1143
00.18.06,568
00.18.07,222
00.18.08,752
00.18.09,127
00.18.10,806
00.18.11,663
00.18.12,478
00.18.13,182
00.18.14,633
00.18.15,254
00.18.16,576
00.18.17,1308
00.18.18,1064
00.18.19,280
00.18.20,181
00.18.21,568
00.18.22,330
00.18.23,773
00.18.24,837
00.19.01,617
00.19.02,657
00.19.03,301
00.19.04,156
00.19.05,149
00.19.06,125
00.19.07,77
00.19.08,343
00.19.09,312
00.19.10,131
00.19.11,461
00.19.12,507
00.19.13,228
00.19.14,203
00.19.15,246
00.19.16,314
00.19.17,502
00.19.18,138
00.19.19,536
00.19.20,522
00.20.01,1265
00.20.02,713
00.20.03,955
00.20.04,1325
00.20.05,917
00.20.06,903
00.20.07,895
00.20.08,773
00.20.09,768
00.20.10,1620
00.20.11,1478
00.20.12,877
00.20.13,936
00.20.14,936
00.20.15,627
00.20.16,1256
00.20.17,1154
00.20.18,762
00.20.19,778
00.20.20,748
00.20.21,902
00.20.22,764
00.20.23,1235
00.20.24,1308
00.20.25,1314
00.20.26,662
00.20.27,834
00.20.28,639
00.20.29,1634
00.20.30,1511
00.20.31,1326
00.20.32,670
00.20.33,862
00.20.34,1296
00.20.35,1216
00.20.36,1509
00.20.37,1356
00.20.38,1537
00.20.39,762
00.20.40,1325
00.20.41,619
00.20.42,798
00.20.43,786
00.20.44,767
00.20.45,852
00.20.46,1309
00.20.47,1267
00.20.48,1456
00.20.49,1478
00.20.50,1295
00.20.51,1331
00.20.52,1468
00.20.53,715
00.20.54,748
00.20.55,754
00.20.56,1240
00.20.57,1351
00.20.58,215
00.20.59,132
00.20.60,93
00.20.61,238
00.21.01,823
00.21.02,753
00.21.03,787
00.21.04,927
00.21.05,969
00.21.06,414
00.21.07,363
00.21.08,764
00.21.09,857
00.21.10,298
00.21.11,151
00.21.12,76
00.21.13,641
00.21.14,733
00.21.15,958
00.21.16,968
00.21.17,994
00.21.18,433
00.21.19,371
00.21.20,668
00.21.21,521
00.21.22,707
00.21.23,170
00.21.24,808
00.21.25,748
00.21.26,602
00.21.27,943
00.21.28,425
00.21.29,785
00.21.30,120
00.21.31,486
00.21.32,602
00.21.33,603
00.21.34,879
00.21.35,796
00.21.36,62
00.21.37,735
00.21.38,759
00.21.39,1001
00.21.40,552
00.21.41,529
00.21.42,527
00.21.43,544
00.21.44,797
00.21.45,641
00.21.46,980
00.21.47,788
00.21.48,511
00.21.49,399
00.21.50,424
00.21.51,464
00.21.52,585
00.21.53,584
00.22.01,931
00.22.02,807
00.22.03,1064
00.22.04,878
00.22.05,580
00.22.06,483
00.22.07,1121
00.22.08,988
00.22.09,324
00.22.10,795
00.22.11,156
00.22.12,1105
00.22.13,622
00.22.14,871
00.22.15,435
00.22.16,526
00.22.17,427
00.22.18,903
00.22.19,355
00.22.20,142
00.22.21,804
00.22.22,655
00.22.23,396
00.22.24,398
00.22.25,444
00.22.26,857
00.22.27,765
00.22.28,618
00.22.29,955
00.22.30,691
00.22.31,1095
00.22.32,611
00.22.33,369
00.22.34,450
00.22.35,362
00.22.36,350
00.22.37,599
00.22.38,514
00.22.39,411
00.22.40,593
00.22.41,463
00.22.42,718
00.22.43,436
00.22.44,635
00.22.45,179
00.22.46,385
00.22.47,412
00.22.48,538
00.22.49,559
00.22.50,450
00.22.51,366
00.22.52,419
00.22.53,511
00.22.54,383
00.22.55,554
00.22.56,460
00.22.57,409
00.22.58,457
00.22.59,577
00.22.60,333
00.22.61,503
00.22.62,245
00.22.63,126
00.22.64,409
00.22.65,293
00.22.66,636
